"","Year","Country","Series","Number"
"43","1960","East Asia & Pacific","GDP Per Capita","147.033509481367"
"44","1965","East Asia & Pacific","GDP Per Capita","197.551320551761"
"45","1970","East Asia & Pacific","GDP Per Capita","313.772120611558"
"46","1975","East Asia & Pacific","GDP Per Capita","641.665056443296"
"47","1980","East Asia & Pacific","GDP Per Capita","1152.42142155849"
"48","1985","East Asia & Pacific","GDP Per Capita","1393.19762446403"
"49","1990","East Asia & Pacific","GDP Per Capita","2585.45236112792"
"50","1995","East Asia & Pacific","GDP Per Capita","4217.33940373015"
"51","2000","East Asia & Pacific","GDP Per Capita","3971.05539496529"
"52","2005","East Asia & Pacific","GDP Per Capita","4743.90784818238"
"57","2010","East Asia & Pacific","GDP Per Capita","7588.17208608506"
"62","2015","East Asia & Pacific","GDP Per Capita","9397.92140089318"
"64","1960","Europe & Central Asia","GDP Per Capita","646.20957928577"
"65","1965","Europe & Central Asia","GDP Per Capita","943.947811145026"
"66","1970","Europe & Central Asia","GDP Per Capita","1361.32893782305"
"67","1975","Europe & Central Asia","GDP Per Capita","2965.64196322951"
"68","1980","Europe & Central Asia","GDP Per Capita","5710.33150210862"
"69","1985","Europe & Central Asia","GDP Per Capita","4584.78212623824"
"70","1990","Europe & Central Asia","GDP Per Capita","10457.2008668577"
"71","1995","Europe & Central Asia","GDP Per Capita","12648.4514266874"
"72","2000","Europe & Central Asia","GDP Per Capita","11606.4966712026"
"73","2005","Europe & Central Asia","GDP Per Capita","19149.9385053799"
"78","2010","Europe & Central Asia","GDP Per Capita","23462.8853798635"
"83","2015","Europe & Central Asia","GDP Per Capita","22112.3949356731"
"190","1960","Latin America & Caribbean","GDP Per Capita","0"
"191","1965","Latin America & Caribbean","GDP Per Capita","0"
"192","1970","Latin America & Caribbean","GDP Per Capita","0"
"193","1975","Latin America & Caribbean","GDP Per Capita","0"
"194","1980","Latin America & Caribbean","GDP Per Capita","0"
"195","1985","Latin America & Caribbean","GDP Per Capita","1844.40788915217"
"196","1990","Latin America & Caribbean","GDP Per Capita","2618.41746949303"
"197","1995","Latin America & Caribbean","GDP Per Capita","3931.94028199895"
"198","2000","Latin America & Caribbean","GDP Per Capita","4300.83190851258"
"199","2005","Latin America & Caribbean","GDP Per Capita","5056.52551012153"
"204","2010","Latin America & Caribbean","GDP Per Capita","8913.8527816179"
"209","2015","Latin America & Caribbean","GDP Per Capita","8363.56275520973"
"232","1960","Middle East & North Africa","GDP Per Capita","0"
"233","1965","Middle East & North Africa","GDP Per Capita","0"
"234","1970","Middle East & North Africa","GDP Per Capita","291.808900053397"
"235","1975","Middle East & North Africa","GDP Per Capita","965.407054493517"
"236","1980","Middle East & North Africa","GDP Per Capita","2157.00695246817"
"237","1985","Middle East & North Africa","GDP Per Capita","1966.21455617581"
"238","1990","Middle East & North Africa","GDP Per Capita","2136.21857571434"
"239","1995","Middle East & North Africa","GDP Per Capita","2482.6286840139"
"240","2000","Middle East & North Africa","GDP Per Capita","3065.51520306914"
"241","2005","Middle East & North Africa","GDP Per Capita","4395.50891246871"
"246","2010","Middle East & North Africa","GDP Per Capita","7116.06040967098"
"251","2015","Middle East & North Africa","GDP Per Capita","7407.07062484373"
"274","1960","North America","GDP Per Capita","2942.62886994412"
"275","1965","North America","GDP Per Capita","3727.14016510279"
"276","1970","North America","GDP Per Capita","5140.49045945309"
"277","1975","North America","GDP Per Capita","7787.74857269067"
"278","1980","North America","GDP Per Capita","12454.5951188154"
"279","1985","North America","GDP Per Capita","17855.7072356895"
"280","1990","North America","GDP Per Capita","23696.3712717686"
"281","1995","North America","GDP Per Capita","27968.7292095918"
"282","2000","North America","GDP Per Capita","35242.0641955061"
"283","2005","North America","GDP Per Capita","43514.0819225872"
"288","2010","North America","GDP Per Capita","48289.7175885726"
"293","2015","North America","GDP Per Capita","54830.9880095413"
"421","1960","World","GDP Per Capita","445.775652606464"
"422","1965","World","GDP Per Capita","585.366146035004"
"423","1970","World","GDP Per Capita","796.877760030731"
"424","1975","World","GDP Per Capita","1435.94216940491"
"425","1980","World","GDP Per Capita","2495.65722620095"
"426","1985","World","GDP Per Capita","2611.63923724366"
"427","1990","World","GDP Per Capita","4262.08578279162"
"428","1995","World","GDP Per Capita","5386.13201642329"
"429","2000","World","GDP Per Capita","5460.10926902833"
"430","2005","World","GDP Per Capita","7247.19145283087"
"435","2010","World","GDP Per Capita","9482.15018785578"
"440","2015","World","GDP Per Capita","10057.9256124952"
