"","Year","Country","GDP Per Capita","Unemployment (% of total employment)","Population (in millions)"
"115","2005","Indonesia","1263.4814411969","11.1999998092651","226254703"
"116","2006","Indonesia","1590.17790018672","10.3000001907349","229263980"
"117","2007","Indonesia","1860.62262569343","9.10000038146973","232296830"
"118","2008","Indonesia","2167.85765032782","8.39999961853027","235360765"
"119","2009","Indonesia","2262.72078612573","7.90000009536743","238465165"
"120","2010","Indonesia","3125.21994505825","7.09999990463257","241613126"
"121","2011","Indonesia","3647.62663567338","6.59999990463257","244808254"
"122","2012","Indonesia","3700.52352495467","6.09999990463257","248037853"
"123","2013","Indonesia","3631.67269360346","6.30000019073486","251268276"
"124","2014","Indonesia","3499.58873476515","6.19999980926514","254454778"
"220","2005","Malaysia","5564.17323050149","3.5","25796124"
"221","2006","Malaysia","6194.67190541651","3.29999995231628","26263048"
"222","2007","Malaysia","7240.68196667962","3.20000004768372","26730607"
"223","2008","Malaysia","8486.59933273544","3.29999995231628","27197419"
"224","2009","Malaysia","7312.00831363343","3.70000004768372","27661017"
"225","2010","Malaysia","9069.03071650886","3.40000009536743","28119500"
"226","2011","Malaysia","10427.7560500121","3.09999990463257","28572970"
"227","2012","Malaysia","10834.6590783671","3","29021940"
"228","2013","Malaysia","10971.4155835989","3.20000004768372","29465372"
"229","2014","Malaysia","11305.9000976846","2","29901997"
