"","Year","Country","Series","Production"
"115","2005","Indonesia","Employment Agriculture","44"
"116","2006","Indonesia","Employment Agriculture","42"
"117","2007","Indonesia","Employment Agriculture","41.2000007629395"
"118","2008","Indonesia","Employment Agriculture","40.2999992370605"
"119","2009","Indonesia","Employment Agriculture","39.7000007629395"
"120","2010","Indonesia","Employment Agriculture","38.2999992370605"
"121","2011","Indonesia","Employment Agriculture","36.2000007629395"
"122","2012","Indonesia","Employment Agriculture","35.2999992370605"
"123","2013","Indonesia","Employment Agriculture","34.7999992370605"
"124","2014","Indonesia","Employment Agriculture","34.2999992370605"
"126","2016","Indonesia","Employment Agriculture","0"
"220","2005","Malaysia","Employment Agriculture","14.6000003814697"
"221","2006","Malaysia","Employment Agriculture","14.6000003814697"
"222","2007","Malaysia","Employment Agriculture","14.8000001907349"
"223","2008","Malaysia","Employment Agriculture","14"
"224","2009","Malaysia","Employment Agriculture","13.5"
"225","2010","Malaysia","Employment Agriculture","13.3000001907349"
"226","2011","Malaysia","Employment Agriculture","11.5"
"227","2012","Malaysia","Employment Agriculture","12.6000003814697"
"228","2013","Malaysia","Employment Agriculture","12.6999998092651"
"229","2014","Malaysia","Employment Agriculture","12.1999998092651"
"231","2016","Malaysia","Employment Agriculture","0"
"556","2005","Indonesia","Employment Industry","18.7000007629395"
"557","2006","Indonesia","Employment Industry","18.6000003814697"
"558","2007","Indonesia","Employment Industry","18.7999992370605"
"559","2008","Indonesia","Employment Industry","18.7999992370605"
"560","2009","Indonesia","Employment Industry","18.7999992370605"
"561","2010","Indonesia","Employment Industry","19.2999992370605"
"562","2011","Indonesia","Employment Industry","20.8999996185303"
"563","2012","Indonesia","Employment Industry","21.5"
"564","2013","Indonesia","Employment Industry","20.3999996185303"
"565","2014","Indonesia","Employment Industry","21"
"567","2016","Indonesia","Employment Industry","0"
"661","2005","Malaysia","Employment Industry","29.7000007629395"
"662","2006","Malaysia","Employment Industry","30.2999992370605"
"663","2007","Malaysia","Employment Industry","28.5"
"664","2008","Malaysia","Employment Industry","28.7000007629395"
"665","2009","Malaysia","Employment Industry","27"
"666","2010","Malaysia","Employment Industry","27.6000003814697"
"667","2011","Malaysia","Employment Industry","28.8999996185303"
"668","2012","Malaysia","Employment Industry","28.3999996185303"
"669","2013","Malaysia","Employment Industry","27.8999996185303"
"670","2014","Malaysia","Employment Industry","27.3999996185303"
"672","2016","Malaysia","Employment Industry","0"
"997","2005","Indonesia","Employment Service","37.2000007629395"
"998","2006","Indonesia","Employment Service","39.2999992370605"
"999","2007","Indonesia","Employment Service","39.9000015258789"
"1000","2008","Indonesia","Employment Service","40.7999992370605"
"1001","2009","Indonesia","Employment Service","41.5"
"1002","2010","Indonesia","Employment Service","42.2999992370605"
"1003","2011","Indonesia","Employment Service","43"
"1004","2012","Indonesia","Employment Service","43.0999984741211"
"1005","2013","Indonesia","Employment Service","44.7999992370605"
"1006","2014","Indonesia","Employment Service","44.7999992370605"
"1008","2016","Indonesia","Employment Service","0"
"1102","2005","Malaysia","Employment Service","55.5999984741211"
"1103","2006","Malaysia","Employment Service","55.0999984741211"
"1104","2007","Malaysia","Employment Service","56.7000007629395"
"1105","2008","Malaysia","Employment Service","57.4000015258789"
"1106","2009","Malaysia","Employment Service","59.5"
"1107","2010","Malaysia","Employment Service","59.2000007629395"
"1108","2011","Malaysia","Employment Service","59.5999984741211"
"1109","2012","Malaysia","Employment Service","59"
"1110","2013","Malaysia","Employment Service","59.2999992370605"
"1111","2014","Malaysia","Employment Service","60.2999992370605"
"1113","2016","Malaysia","Employment Service","0"
"1438","2005","Indonesia","GDP Per Capita","1263.4814411969"
"1439","2006","Indonesia","GDP Per Capita","1590.17790018672"
"1440","2007","Indonesia","GDP Per Capita","1860.62262569343"
"1441","2008","Indonesia","GDP Per Capita","2167.85765032782"
"1442","2009","Indonesia","GDP Per Capita","2262.72078612573"
"1443","2010","Indonesia","GDP Per Capita","3125.21994505825"
"1444","2011","Indonesia","GDP Per Capita","3647.62663567338"
"1445","2012","Indonesia","GDP Per Capita","3700.52352495467"
"1446","2013","Indonesia","GDP Per Capita","3631.67269360346"
"1447","2014","Indonesia","GDP Per Capita","3499.58873476515"
"1449","2016","Indonesia","GDP Per Capita","0"
"1543","2005","Malaysia","GDP Per Capita","5564.17323050149"
"1544","2006","Malaysia","GDP Per Capita","6194.67190541651"
"1545","2007","Malaysia","GDP Per Capita","7240.68196667962"
"1546","2008","Malaysia","GDP Per Capita","8486.59933273544"
"1547","2009","Malaysia","GDP Per Capita","7312.00831363343"
"1548","2010","Malaysia","GDP Per Capita","9069.03071650886"
"1549","2011","Malaysia","GDP Per Capita","10427.7560500121"
"1550","2012","Malaysia","GDP Per Capita","10834.6590783671"
"1551","2013","Malaysia","GDP Per Capita","10971.4155835989"
"1552","2014","Malaysia","GDP Per Capita","11305.9000976846"
"1554","2016","Malaysia","GDP Per Capita","0"
