"","Year","Country","GDP Per Capita","Series","Production"
"110","1980","Indonesia","491.437767816017","Employment Agriculture","56.4000015258789"
"111","1985","Indonesia","516.867788925803","Employment Agriculture","54.7000007629395"
"112","1990","Indonesia","585.001017914384","Employment Agriculture","55.9000015258789"
"113","1995","Indonesia","1026.27053333905","Employment Agriculture","44"
"114","2000","Indonesia","780.092078086415","Employment Agriculture","45.2999992370605"
"120","2010","Indonesia","3125.21994505825","Employment Agriculture","38.2999992370605"
"215","1980","Malaysia","1770.16737427608","Employment Agriculture","37.2000007629395"
"216","1985","Malaysia","1979.16063060357","Employment Agriculture","30.3999996185303"
"217","1990","Malaysia","2417.43692557385","Employment Agriculture","26"
"218","1995","Malaysia","4280.01657189049","Employment Agriculture","20"
"219","2000","Malaysia","4004.55719127475","Employment Agriculture","18.3999996185303"
"225","2010","Malaysia","9069.03071650886","Employment Agriculture","13.3000001907349"
"551","1980","Indonesia","491.437767816017","Employment Industry","13.1000003814697"
"552","1985","Indonesia","516.867788925803","Employment Industry","13.3999996185303"
"553","1990","Indonesia","585.001017914384","Employment Industry","13.6999998092651"
"554","1995","Indonesia","1026.27053333905","Employment Industry","18.3999996185303"
"555","2000","Indonesia","780.092078086415","Employment Industry","17.3999996185303"
"561","2010","Indonesia","3125.21994505825","Employment Industry","19.2999992370605"
"656","1980","Malaysia","1770.16737427608","Employment Industry","24.1000003814697"
"657","1985","Malaysia","1979.16063060357","Employment Industry","23.7999992370605"
"658","1990","Malaysia","2417.43692557385","Employment Industry","27.5"
"659","1995","Malaysia","4280.01657189049","Employment Industry","32.2999992370605"
"660","2000","Malaysia","4004.55719127475","Employment Industry","32.2000007629395"
"666","2010","Malaysia","9069.03071650886","Employment Industry","27.6000003814697"
"992","1980","Indonesia","491.437767816017","Employment Service","30.3999996185303"
"993","1985","Indonesia","516.867788925803","Employment Service","31.7999992370605"
"994","1990","Indonesia","585.001017914384","Employment Service","30.2000007629395"
"995","1995","Indonesia","1026.27053333905","Employment Service","37.5999984741211"
"996","2000","Indonesia","780.092078086415","Employment Service","37.2999992370605"
"1002","2010","Indonesia","3125.21994505825","Employment Service","42.2999992370605"
"1097","1980","Malaysia","1770.16737427608","Employment Service","38.7000007629395"
"1098","1985","Malaysia","1979.16063060357","Employment Service","45.7999992370605"
"1099","1990","Malaysia","2417.43692557385","Employment Service","46.5"
"1100","1995","Malaysia","4280.01657189049","Employment Service","47.7000007629395"
"1101","2000","Malaysia","4004.55719127475","Employment Service","49.5"
"1107","2010","Malaysia","9069.03071650886","Employment Service","59.2000007629395"
