"","Year","Country","Series","Production"
"115","2005","Indonesia","GDP Per Capita","1263.4814411969"
"116","2006","Indonesia","GDP Per Capita","1590.17790018672"
"117","2007","Indonesia","GDP Per Capita","1860.62262569343"
"118","2008","Indonesia","GDP Per Capita","2167.85765032782"
"119","2009","Indonesia","GDP Per Capita","2262.72078612573"
"120","2010","Indonesia","GDP Per Capita","3125.21994505825"
"121","2011","Indonesia","GDP Per Capita","3647.62663567338"
"122","2012","Indonesia","GDP Per Capita","3700.52352495467"
"123","2013","Indonesia","GDP Per Capita","3631.67269360346"
"124","2014","Indonesia","GDP Per Capita","3499.58873476515"
"220","2005","Malaysia","GDP Per Capita","5564.17323050149"
"221","2006","Malaysia","GDP Per Capita","6194.67190541651"
"222","2007","Malaysia","GDP Per Capita","7240.68196667962"
"223","2008","Malaysia","GDP Per Capita","8486.59933273544"
"224","2009","Malaysia","GDP Per Capita","7312.00831363343"
"225","2010","Malaysia","GDP Per Capita","9069.03071650886"
"226","2011","Malaysia","GDP Per Capita","10427.7560500121"
"227","2012","Malaysia","GDP Per Capita","10834.6590783671"
"228","2013","Malaysia","GDP Per Capita","10971.4155835989"
"229","2014","Malaysia","GDP Per Capita","11305.9000976846"
"556","2005","Indonesia","Death Rate (per thousand people)","7.298"
"557","2006","Indonesia","Death Rate (per thousand people)","7.272"
"558","2007","Indonesia","Death Rate (per thousand people)","7.242"
"559","2008","Indonesia","Death Rate (per thousand people)","7.215"
"560","2009","Indonesia","Death Rate (per thousand people)","7.194"
"561","2010","Indonesia","Death Rate (per thousand people)","7.178"
"562","2011","Indonesia","Death Rate (per thousand people)","7.168"
"563","2012","Indonesia","Death Rate (per thousand people)","7.162"
"564","2013","Indonesia","Death Rate (per thousand people)","7.16"
"565","2014","Indonesia","Death Rate (per thousand people)","7.161"
"661","2005","Malaysia","Death Rate (per thousand people)","4.498"
"662","2006","Malaysia","Death Rate (per thousand people)","4.547"
"663","2007","Malaysia","Death Rate (per thousand people)","4.597"
"664","2008","Malaysia","Death Rate (per thousand people)","4.644"
"665","2009","Malaysia","Death Rate (per thousand people)","4.689"
"666","2010","Malaysia","Death Rate (per thousand people)","4.73"
"667","2011","Malaysia","Death Rate (per thousand people)","4.771"
"668","2012","Malaysia","Death Rate (per thousand people)","4.815"
"669","2013","Malaysia","Death Rate (per thousand people)","4.865"
"670","2014","Malaysia","Death Rate (per thousand people)","4.921"
"997","2005","Indonesia","Electric Power Consumption (kWh)","500.723293252384"
"998","2006","Indonesia","Electric Power Consumption (kWh)","516.156092204279"
"999","2007","Indonesia","Electric Power Consumption (kWh)","546.335479481145"
"1000","2008","Indonesia","Electric Power Consumption (kWh)","570.324454885248"
"1001","2009","Indonesia","Electric Power Consumption (kWh)","594.325800164565"
"1002","2010","Indonesia","Electric Power Consumption (kWh)","636.550681439385"
"1003","2011","Indonesia","Electric Power Consumption (kWh)","680.675578855278"
"1004","2012","Indonesia","Electric Power Consumption (kWh)","718.684659796664"
"1005","2013","Indonesia","Electric Power Consumption (kWh)","787.680017353245"
"1006","2014","Indonesia","Electric Power Consumption (kWh)","834.321548987662"
"1102","2005","Malaysia","Electric Power Consumption (kWh)","2861.98035022626"
"1103","2006","Malaysia","Electric Power Consumption (kWh)","3058.44165536308"
"1104","2007","Malaysia","Electric Power Consumption (kWh)","3271.64287739519"
"1105","2008","Malaysia","Electric Power Consumption (kWh)","3290.75343509618"
"1106","2009","Malaysia","Electric Power Consumption (kWh)","3952.63847312628"
"1107","2010","Malaysia","Electric Power Consumption (kWh)","4158.57323209872"
"1108","2011","Malaysia","Electric Power Consumption (kWh)","4113.81805951569"
"1109","2012","Malaysia","Electric Power Consumption (kWh)","4345.4710470768"
"1110","2013","Malaysia","Electric Power Consumption (kWh)","4511.97425914053"
"1111","2014","Malaysia","Electric Power Consumption (kWh)","4761.52343241532"
"1438","2005","Indonesia","Unemployment (% of total employment)","11.1999998092651"
"1439","2006","Indonesia","Unemployment (% of total employment)","10.3000001907349"
"1440","2007","Indonesia","Unemployment (% of total employment)","9.10000038146973"
"1441","2008","Indonesia","Unemployment (% of total employment)","8.39999961853027"
"1442","2009","Indonesia","Unemployment (% of total employment)","7.90000009536743"
"1443","2010","Indonesia","Unemployment (% of total employment)","7.09999990463257"
"1444","2011","Indonesia","Unemployment (% of total employment)","6.59999990463257"
"1445","2012","Indonesia","Unemployment (% of total employment)","6.09999990463257"
"1446","2013","Indonesia","Unemployment (% of total employment)","6.30000019073486"
"1447","2014","Indonesia","Unemployment (% of total employment)","6.19999980926514"
"1543","2005","Malaysia","Unemployment (% of total employment)","3.5"
"1544","2006","Malaysia","Unemployment (% of total employment)","3.29999995231628"
"1545","2007","Malaysia","Unemployment (% of total employment)","3.20000004768372"
"1546","2008","Malaysia","Unemployment (% of total employment)","3.29999995231628"
"1547","2009","Malaysia","Unemployment (% of total employment)","3.70000004768372"
"1548","2010","Malaysia","Unemployment (% of total employment)","3.40000009536743"
