"","Year","Country","Production","Number"
"1","000","Cambodia","EmployAgriculture","73.6999969482422"
"2","005","Cambodia","EmployAgriculture","0"
"3","010","Cambodia","EmployAgriculture","54.0999984741211"
"4","015","Cambodia","EmployAgriculture","0"
"5","960","Cambodia","EmployAgriculture","0"
"6","965","Cambodia","EmployAgriculture","0"
"7","970","Cambodia","EmployAgriculture","0"
"8","975","Cambodia","EmployAgriculture","0"
"9","980","Cambodia","EmployAgriculture","0"
"10","985","Cambodia","EmployAgriculture","0"
"11","990","Cambodia","EmployAgriculture","0"
"12","995","Cambodia","EmployAgriculture","0"
"13","000","China","EmployAgriculture","46.2999992370605"
"14","005","China","EmployAgriculture","3.90000009536743"
"15","010","China","EmployAgriculture","2.90000009536743"
"16","015","China","EmployAgriculture","0"
"17","960","China","EmployAgriculture","0"
"18","965","China","EmployAgriculture","0"
"19","970","China","EmployAgriculture","0"
"20","975","China","EmployAgriculture","0"
"21","980","China","EmployAgriculture","0"
"22","985","China","EmployAgriculture","0"
"23","990","China","EmployAgriculture","53.4000015258789"
"24","995","China","EmployAgriculture","48.5"
"25","000","Hong Kong SAR, China","EmployAgriculture","0.300000011920929"
"26","005","Hong Kong SAR, China","EmployAgriculture","0.300000011920929"
"27","010","Hong Kong SAR, China","EmployAgriculture","0"
"28","015","Hong Kong SAR, China","EmployAgriculture","0"
"29","960","Hong Kong SAR, China","EmployAgriculture","0"
"30","965","Hong Kong SAR, China","EmployAgriculture","0"
"31","970","Hong Kong SAR, China","EmployAgriculture","0"
"32","975","Hong Kong SAR, China","EmployAgriculture","0"
"33","980","Hong Kong SAR, China","EmployAgriculture","1.39999997615814"
"34","985","Hong Kong SAR, China","EmployAgriculture","1.60000002384186"
"35","990","Hong Kong SAR, China","EmployAgriculture","0.899999976158142"
"36","995","Hong Kong SAR, China","EmployAgriculture","0.600000023841858"
"37","000","Indonesia","EmployAgriculture","45.2999992370605"
"38","005","Indonesia","EmployAgriculture","44"
"39","010","Indonesia","EmployAgriculture","38.2999992370605"
"40","015","Indonesia","EmployAgriculture","0"
"41","960","Indonesia","EmployAgriculture","0"
"42","965","Indonesia","EmployAgriculture","0"
"43","970","Indonesia","EmployAgriculture","0"
"44","975","Indonesia","EmployAgriculture","0"
"45","980","Indonesia","EmployAgriculture","56.4000015258789"
"46","985","Indonesia","EmployAgriculture","54.7000007629395"
"47","990","Indonesia","EmployAgriculture","55.9000015258789"
"48","995","Indonesia","EmployAgriculture","44"
"49","000","Japan","EmployAgriculture","5.09999990463257"
"50","005","Japan","EmployAgriculture","4.40000009536743"
"51","010","Japan","EmployAgriculture","4"
"52","015","Japan","EmployAgriculture","0"
"53","960","Japan","EmployAgriculture","0"
"54","965","Japan","EmployAgriculture","0"
"55","970","Japan","EmployAgriculture","0"
"56","975","Japan","EmployAgriculture","0"
"57","980","Japan","EmployAgriculture","10.3999996185303"
"58","985","Japan","EmployAgriculture","8.80000019073486"
"59","990","Japan","EmployAgriculture","7.19999980926514"
"60","995","Japan","EmployAgriculture","5.69999980926514"
"61","000","Korea, Rep.","EmployAgriculture","10.6000003814697"
"62","005","Korea, Rep.","EmployAgriculture","7.90000009536743"
"63","010","Korea, Rep.","EmployAgriculture","6.59999990463257"
"64","015","Korea, Rep.","EmployAgriculture","0"
"65","960","Korea, Rep.","EmployAgriculture","0"
"66","965","Korea, Rep.","EmployAgriculture","0"
"67","970","Korea, Rep.","EmployAgriculture","0"
"68","975","Korea, Rep.","EmployAgriculture","0"
"69","980","Korea, Rep.","EmployAgriculture","34"
"70","985","Korea, Rep.","EmployAgriculture","24.8999996185303"
"71","990","Korea, Rep.","EmployAgriculture","17.8999996185303"
"72","995","Korea, Rep.","EmployAgriculture","12.3999996185303"
"73","000","Lao PDR","EmployAgriculture","0"
"74","005","Lao PDR","EmployAgriculture","0"
"75","010","Lao PDR","EmployAgriculture","71.3000030517578"
"76","015","Lao PDR","EmployAgriculture","0"
"77","960","Lao PDR","EmployAgriculture","0"
"78","965","Lao PDR","EmployAgriculture","0"
"79","970","Lao PDR","EmployAgriculture","0"
"80","975","Lao PDR","EmployAgriculture","0"
"81","980","Lao PDR","EmployAgriculture","0"
"82","985","Lao PDR","EmployAgriculture","0"
"83","990","Lao PDR","EmployAgriculture","0"
"84","995","Lao PDR","EmployAgriculture","85.4000015258789"
"85","000","Myanmar","EmployAgriculture","0"
"86","005","Myanmar","EmployAgriculture","0"
"87","010","Myanmar","EmployAgriculture","0"
"88","015","Myanmar","EmployAgriculture","0"
"89","960","Myanmar","EmployAgriculture","0"
"90","965","Myanmar","EmployAgriculture","0"
"91","970","Myanmar","EmployAgriculture","0"
"92","975","Myanmar","EmployAgriculture","0"
"93","980","Myanmar","EmployAgriculture","67.0999984741211"
"94","985","Myanmar","EmployAgriculture","66.0999984741211"
"95","990","Myanmar","EmployAgriculture","69.6999969482422"
"96","995","Myanmar","EmployAgriculture","0"
"97","000","Philippines","EmployAgriculture","37.0999984741211"
"98","005","Philippines","EmployAgriculture","36"
"99","010","Philippines","EmployAgriculture","33.2000007629395"
"100","015","Philippines","EmployAgriculture","0"
"101","960","Philippines","EmployAgriculture","0"
"102","965","Philippines","EmployAgriculture","0"
"103","970","Philippines","EmployAgriculture","0"
"104","975","Philippines","EmployAgriculture","0"
"105","980","Philippines","EmployAgriculture","51.7999992370605"
"106","985","Philippines","EmployAgriculture","49.5999984741211"
"107","990","Philippines","EmployAgriculture","45.2000007629395"
"108","995","Philippines","EmployAgriculture","44.0999984741211"
"109","000","Singapore","EmployAgriculture","0"
"110","005","Singapore","EmployAgriculture","1.10000002384186"
"111","010","Singapore","EmployAgriculture","0"
"112","015","Singapore","EmployAgriculture","0"
"113","960","Singapore","EmployAgriculture","0"
"114","965","Singapore","EmployAgriculture","0"
"115","970","Singapore","EmployAgriculture","0"
"116","975","Singapore","EmployAgriculture","0"
"117","980","Singapore","EmployAgriculture","1.29999995231628"
"118","985","Singapore","EmployAgriculture","0.699999988079071"
"119","990","Singapore","EmployAgriculture","0.400000005960464"
"120","995","Singapore","EmployAgriculture","0.200000002980232"
"121","000","Thailand","EmployAgriculture","48.5"
