"","Country","Country_code","Series","Series_code","Year","Number"
"1","China","CHN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
"2","China","CHN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","960","0"
"3","China","CHN","Adolescents out of school (% of lower secondary school age)","SE.SEC.UNER.LO.ZS","960","0"
"4","China","CHN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","960","0"
"5","China","CHN","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","960","23.1752941976736"
"6","China","CHN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","960","0"
"7","China","CHN","Death rate, crude (per 1,000 people)","SP.DYN.CDRT.IN","960","25.43"
"8","China","CHN","Ease of doing business index (1=most business-friendly regulations)","IC.BUS.EASE.XQ","960","0"
"9","China","CHN","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","960","0"
"10","China","CHN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","960","0"
"11","China","CHN","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","960","0"
"12","China","CHN","Employment in industry (% of total employment)","SL.IND.EMPL.ZS","960","0"
"13","China","CHN","Employment in services (% of total employment)","SL.SRV.EMPL.ZS","960","0"
"14","China","CHN","Exclusive breastfeeding (% of children under 6 months)","SH.STA.BFED.ZS","960","0"
"15","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","960","4.30582953540576"
"16","China","CHN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","960","0"
"17","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","960","89.5205415103584"
"18","China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","960","0"
"19","China","CHN","GINI index (World Bank estimate)","SI.POV.GINI","960","0"
"20","China","CHN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","960","0"
"21","Indonesia","IDN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","960","0"
