"0","Country","Country_code","Series","Series_code","Year","Number"
"15","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","4.30582953540576"
"35","India","IND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","4.38623533763734"
"55","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","15.8844951307022"
"75","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","10.7229408129351"
"95","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","3.15810788320985"
"115","South Asia","SAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","5.4844103767443"
"135","North America","NAC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","6.05834852401371"
"155","World","WLD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","12.0077026503893"
"175","Middle East & North Africa","MEA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"195","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","21.7792585497518"
"215","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"235","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","19.4213061400428"
"255","European Union","EUU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","19.4140993922004"
"275","East Asia & Pacific","EAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","11.2060797243105"
"295","Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"315","Central Europe and the Baltics","CEB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"335","Latin America & Caribbean","LCN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","11.7952927653283"
"355","Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","4.13223321494422"
"375","Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","9.99668529799247"
"395","Bhutan","BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"415","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","13.9013451044662"
"435","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"455","Korea, Dem. People’s Rep.","PRK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"475","Lao PDR","LAO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"495","Myanmar","MMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"515","Philippines","PHL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","11.947350261744"
"535","Pakistan","PAK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"555","Singapore","SGP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","162.893577556225"
"575","Sri Lanka","LKA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","29.9532498882432"
"595","Thailand","THA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","16.1446431981525"
"615","Timor-Leste","TMP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"635","Vietnam","VNM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1960","0"
"655","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","3.63898500576701"
"675","India","IND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","3.25046951256133"
"695","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","5.83298228595529"
"715","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","10.5176731688727"
"735","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","8.30201065727812"
"755","South Asia","SAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","4.41817270061803"
"775","North America","NAC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","6.21805804484645"
"795","World","WLD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","12.0623424535275"
"815","Middle East & North Africa","MEA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"835","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","21.3728220491518"
"855","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"875","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","19.0485951778774"
"895","European Union","EUU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","18.8848072658692"
"915","East Asia & Pacific","EAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","11.4093431019553"
"935","Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"955","Central Europe and the Baltics","CEB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"975","Latin America & Caribbean","LCN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","11.2524759380059"
"995","Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","11.2582791310323"
"1015","Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","9.66271640919629"
"1035","Bhutan","BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"1055","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","11.5131578947368"
"1075","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","68.8239088368093"
"1095","Korea, Dem. People’s Rep.","PRK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"1115","Lao PDR","LAO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"1135","Myanmar","MMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"1155","Philippines","PHL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","19.3836494672149"
"1175","Pakistan","PAK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"1195","Singapore","SGP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","123.294882972302"
"1215","Sri Lanka","LKA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","25.9030183077684"
"1235","Thailand","THA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","16.8550951173044"
"1255","Timor-Leste","TMP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"1275","Vietnam","VNM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1965","0"
"1295","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","2.49155590647892"
"1315","India","IND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","3.71762924452998"
"1335","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","14.1948797994012"
"1355","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","10.5934991836337"
"1375","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","12.8871094685693"
"1395","South Asia","SAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","4.9858493066907"
"1415","North America","NAC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","7.03570662987184"
"1435","World","WLD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","13.4548630959636"
"1455","Middle East & North Africa","MEA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","32.6427934827576"
"1475","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","19.2761140559976"
"1495","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","0"
"1515","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","19.4806353201181"
"1535","European Union","EUU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","19.6867103484322"
"1555","East Asia & Pacific","EAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","12.3742699796504"
"1575","Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","37.2150546678792"
"1595","Central Europe and the Baltics","CEB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","0"
"1615","Latin America & Caribbean","LCN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","11.0959175700073"
"1635","Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","9.78400228346932"
"1655","Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","8.31311289260521"
"1675","Bhutan","BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","0"
"1695","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","5.76441098422749"
"1715","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","93.1879165584697"
"1735","Korea, Dem. People’s Rep.","PRK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","0"
"1755","Lao PDR","LAO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","0"
"1775","Myanmar","MMR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","0"
"1795","Philippines","PHL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","21.5764693970536"
"1815","Pakistan","PAK","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","7.76879227899008"
"1835","Singapore","SGP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","126.09768550034"
"1855","Sri Lanka","LKA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","25.4537470725995"
"1875","Thailand","THA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","15.0203528324978"
"1895","Timor-Leste","TMP","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","0"
"1915","Vietnam","VNM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1970","0"
"1935","China","CHN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","4.70472117124527"
"1955","India","IND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","5.54973679210725"
"1975","Indonesia","IDN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","25.3360988910421"
"1995","Japan","JPN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","12.5448940475832"
"2015","Korea, Rep.","KOR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","25.3072321914084"
"2035","South Asia","SAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","6.52338931687236"
"2055","North America","NAC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","9.46748066084161"
"2075","World","WLD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","16.4734499989804"
"2095","Middle East & North Africa","MEA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","47.9565522634141"
"2115","Sub-Saharan Africa","SSF","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","23.4543625796754"
"2135","Low income","LIC","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2155","Europe & Central Asia","ECS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","21.8646179426163"
"2175","European Union","EUU","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","22.2698444288159"
"2195","East Asia & Pacific","EAS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","15.7100234088465"
"2215","Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","50.9964507902026"
"2235","Central Europe and the Baltics","CEB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2255","Latin America & Caribbean","LCN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","12.516624506511"
"2275","Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","12.6760568934735"
"2295","Bangladesh","BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","2.89507889386174"
"2315","Bhutan","BTN","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2335","Cambodia","KHM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","0"
"2355","Hong Kong SAR, China","HKG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","1975","83.399544253766"
