"0","Country","Country_code","Series","Series_code","Year","Number"
"17","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","89.5205415103584"
"37","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","83.7946836721907"
"77","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","478.995340162869"
"97","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","155.596857664865"
"117","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","83.3498411276828"
"137","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","2942.62886994412"
"157","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","445.775652606464"
"197","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","116.850195226885"
"237","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","646.20957928577"
"257","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","876.61699320152"
"277","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","147.033509481367"
"357","Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","59.7876806182323"
"377","Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","88.689453391453"
"417","Cambodia","KHM","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","111.342479726807"
"437","Hong Kong SAR, China","HKG","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","429.442874392053"
"517","Philippines","PHL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","254.427090672771"
"537","Pakistan","PAK","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","82.5407816091576"
"557","Singapore","SGP","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","427.880407170241"
"577","Sri Lanka","LKA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","142.469073320517"
"597","Thailand","THA","GDP per capita (current US$)","NY.GDP.PCAP.CD","1960","100.767585328907"
"657","China","CHN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","98.4867777522206"
"677","India","IND","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","121.704754280676"
"717","Japan","JPN","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","919.776688184802"
"737","Korea, Rep.","KOR","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","105.126237154492"
"757","South Asia","SAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","117.966597513715"
"777","North America","NAC","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","3727.14016510279"
"797","World","WLD","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","585.366146035004"
"837","Sub-Saharan Africa","SSF","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","148.312077635785"
"877","Europe & Central Asia","ECS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","943.947811145026"
"897","European Union","EUU","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","1327.5339802397"
"917","East Asia & Pacific","EAS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1965","197.551320551761"
