"","Country","Year","FDI","ElectricityAccess","RenewableElectricityProduction","AlternativeNuclear","ElectricPowerConsumption","EaseofBusiness","ExportGoodsServices","AgraTotalValueAdded","AdjustedNetNationalIncome","GDPPerCapita","GDPPerCapitaPP","AdultLiteracy","AdolescentsOutofSchool","ExclBreastfeeding","Gini","EmployAgriculture","EmployIndustry","EmployProduction","Unemployment","DeathRate"
"1","Cambodia","000","-141910547.771325","16.6","0.223214285714286","0.00252024400650809","32.6285538377287","0","49.8462352302926","37.8411808029254","261.460058499727","299.562237635792","1086.55942999716","0","85.5327987670898","11.7","0","73.6999969482422","8.39999961853027","17.8999996185303","2.5","9.426"
"2","Cambodia","005","-372902190.600284","0","1.55601659751037","0.11263394926932","66.5162268812944","0","64.0847072521061","32.401330140132","410.561426496644","472.448855862778","1746.87882505754","0","0","60","0","0","0","0","1.29999995231628","7.479"
"3","Cambodia","010","-714619115.643984","31.1","2.31388329979879","0.0470633702430425","143.766326876868","0","54.0827827917917","36.0195871218482","657.796282007052","782.692789877004","2462.45278970169","0","0","73.5","33.44","54.0999984741211","16.2000007629395","29.6000003814697","0.400000005960464","6.525"
"4","Cambodia","015","0","0","0","0","0","128","61.7184237585908","28.2491486532003","0","1158.6899035244","3490.41902759707","78.3459396362305","0","0","0","0","0","0","0","0"
"5","Cambodia","960","0","0","0","0","0","0","13.9013451044662","0","0","111.342479726807","0","0","0","0","0","0","0","0","0","21.772"
"6","Cambodia","965","0","0","0","0","0","0","11.5131578947368","0","0","134.304175808407","0","0","0","0","0","0","0","0","0","20.843"
"7","Cambodia","970","0","0","0","0","0","0","5.76441098422749","0","96.5629646323506","102.304504612761","0","0","0","0","0","0","0","0","0","19.868"
"8","Cambodia","975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.177"
"9","Cambodia","980","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.915"
"10","Cambodia","985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.164"
"11","Cambodia","990","0","19.23774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.679"
"12","Cambodia","995","-150800000","0","0","0","13.4649167386588","0","31.1841815310837","49.6209814678849","266.873667198951","321.774639831393","801.064292056175","0","0","0","0","0","0","0","1.60000002384186","11.348"
"13","China","000","-37483300000","98","0.234009877959499","2.2515266508044","993.430457492011","0","21.2356734933422","14.6762917069289","819.904559843281","959.372108105392","2933.31501967982","90.9202117919922","0","0","0","46.2999992370605","17.2999992370605","12.6999998092651","4.5","6.45"
"14","China","005","-90379127564.2216","0","0.297063649303455","3.00011675774641","1783.86770165373","0","34.5123814563391","11.6414841214635","1457.28742236166","1753.41780007468","5092.56018929034","0","0","0","0","3.90000009536743","43.4000015258789","49.5","4.09999990463257","6.51"
"15","China","010","-185749835191.821","99.7","1.67262566611385","3.90605395562687","2943.58995443689","0","26.2674146436714","9.53019669501245","3751.39557591675","4560.5124871009","9333.12488219983","95.1244812011719","0","0","0","2.90000009536743","44.2999992370605","48.7999992370605","4.19999980926514","7.11"
"16","China","015","-62058344182.5921","0","0","0","0","80","22.0868951705441","8.87964769955265","0","8027.68381013907","14450.174743548","96.3574523925781","0","0","0","0","0","0","0","0"
"17","China","960","0","0","0","0","0","0","4.30582953540576","23.1752941976736","0","89.5205415103584","0","0","0","0","0","0","0","0","0","25.43"
"18","China","965","0","0","0","0","0","0","3.63898500576701","37.5490196078431","0","98.4867777522206","0","0","0","0","0","0","0","0","0","9.5"
"19","China","970","0","0","0","0","0","0","2.49155590647892","34.7984383910164","101.222629945542","113.162991554686","0","0","0","0","0","0","0","0","0","7.6"
